"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15940","Invalid Login Flow @master @sanity @regression @web","chromium","2026-08-18","passed","2026-08-18","","web\invalid-login.spec.ts","",""
"","336","PUT - Update Product @master @regression @api","chromium","2026-08-18","passed","2026-08-18","Products API Tests","api\products.spec.ts","",""
"","1850","Login Data Driven - Invalid login [row 2] @datadriven @master @web","chromium","2026-08-18","passed","2026-08-18","","web\login-data-driven.spec.ts","",""
"","610","GET - Products with Limit @master @regression @api","chromium","2026-08-18","passed","2026-08-18","Products API Tests","api\products.spec.ts","",""
"","311","GET - User Cart @master @regression @api","chromium","2026-08-18","passed","2026-08-18","Carts API Tests","api\carts.spec.ts","",""
"","561","GET - Carts with Limit @master @regression @api","chromium","2026-08-18","passed","2026-08-18","Carts API Tests","api\carts.spec.ts","",""
"","448","GET - Sort Products Descending @master @regression @api","chromium","2026-08-18","passed","2026-08-18","Products API Tests","api\products.spec.ts","",""
"","2049","Login Data Driven - Invalid login [row 4] @datadriven @master @web","chromium","2026-08-18","passed","2026-08-18","","web\login-data-driven.spec.ts","",""
"","331","GET - Cart by ID @master @regression @api","chromium","2026-08-18","passed","2026-08-18","Carts API Tests","api\carts.spec.ts","",""
"","4498","User Registration Flow @master @sanity @regression @web","chromium","2026-08-18","passed","2026-08-18","","web\registration.spec.ts","",""
"","192","PUT - Update Cart @master @regression @api","chromium","2026-08-18","passed","2026-08-18","Carts API Tests","api\carts.spec.ts","",""
"","188","POST - Create Product @master @regression @api","chromium","2026-08-18","passed","2026-08-18","Products API Tests","api\products.spec.ts","",""
"","3187","Valid Login Flow @master @sanity @regression @web","chromium","2026-08-18","passed","2026-08-18","","web\valid-login.spec.ts","",""
"","680","DELETE - Delete User @master @regression @api","chromium","2026-08-18","passed","2026-08-18","Users API Tests","api\users.spec.ts","",""
"","177","GET - All Categories @master @regression @api","chromium","2026-08-18","passed","2026-08-18","Products API Tests","api\products.spec.ts","",""
"","39641","Register customer, verify in admin portal and MySQL @db","chromium","2026-08-18","broken","2026-08-18","OpenCart Customer Registration - UI + Admin + DB Validation @master @end-to-end @db","db\customer-registration-e2e.spec.ts","",""
"","480","DELETE - Delete Cart @master @regression @api","chromium","2026-08-18","passed","2026-08-18","Carts API Tests","api\carts.spec.ts","",""
"","9085","End-to-End Shopping Flow @master @e2e @web","chromium","2026-08-18","passed","2026-08-18","","web\end-to-end-shopping.spec.ts","",""
"","423","GET - User by ID @master @regression @api","chromium","2026-08-18","passed","2026-08-18","Users API Tests","api\users.spec.ts","",""
"","335","POST - Create Cart @master @regression @api","chromium","2026-08-18","passed","2026-08-18","Carts API Tests","api\carts.spec.ts","",""
"","1039","POST - Invalid Login @master @regression @api","chromium","2026-08-18","passed","2026-08-18","Authentication API Tests","api\auth.spec.ts","",""
"","346","GET - Product by ID @master @regression @api","chromium","2026-08-18","passed","2026-08-18","Products API Tests","api\products.spec.ts","",""
"","295","Product Response Schema Validation @master @regression @api","chromium","2026-08-18","passed","2026-08-18","JSON Schema Validation Tests","api\schema-validation.spec.ts","",""
"","860","Cart CRUD Workflow @master @regression @api","chromium","2026-08-18","passed","2026-08-18","Cart CRUD Workflow","api\cart-crud-workflow.spec.ts","",""
"","427","GET - Sort Users Descending @master @regression @api","chromium","2026-08-18","passed","2026-08-18","Users API Tests","api\users.spec.ts","",""
"","4513","Logout Flow @master @sanity @regression @web","chromium","2026-08-18","passed","2026-08-18","","web\logout.spec.ts","",""
"","3372","Login Data Driven - Invalid login [row 5] @datadriven @master @web","chromium","2026-08-18","passed","2026-08-18","","web\login-data-driven.spec.ts","",""
"","2318","Product Search Flow @master @regression @web","chromium","2026-08-18","passed","2026-08-18","","web\product-search.spec.ts","",""
"","364","DELETE - Delete Product @master @regression @api","chromium","2026-08-18","passed","2026-08-18","Products API Tests","api\products.spec.ts","",""
"","520","GET - Sort Carts Ascending @master @regression @api","chromium","2026-08-18","passed","2026-08-18","Carts API Tests","api\carts.spec.ts","",""
"","971","Product CRUD Workflow @master @regression @api","chromium","2026-08-18","passed","2026-08-18","Product CRUD Workflow","api\product-crud-workflow.spec.ts","",""
"","514","GET - All Products @master @sanity @api","chromium","2026-08-18","passed","2026-08-18","Products API Tests","api\products.spec.ts","",""
"","284","GET - Sort Users Ascending @master @regression @api","chromium","2026-08-18","passed","2026-08-18","Users API Tests","api\users.spec.ts","",""
"","322","PUT - Update User @master @regression @api","chromium","2026-08-18","passed","2026-08-18","Users API Tests","api\users.spec.ts","",""
"","2157","Login Data Driven - Valid login [row 1] @datadriven @master @web","chromium","2026-08-18","passed","2026-08-18","","web\login-data-driven.spec.ts","",""
"","22559","Add Product to Cart @master @regression @web","chromium","2026-08-18","passed","2026-08-18","","web\add-to-cart.spec.ts","",""
"","390","GET - Sort Products Ascending @master @regression @api","chromium","2026-08-18","passed","2026-08-18","Products API Tests","api\products.spec.ts","",""
"","415","GET - All Carts @master @sanity @api","chromium","2026-08-18","passed","2026-08-18","Carts API Tests","api\carts.spec.ts","",""
"","498","Cart Response Schema Validation @master @regression @api","chromium","2026-08-18","passed","2026-08-18","JSON Schema Validation Tests","api\schema-validation.spec.ts","",""
"","298","GET - Sort Carts Descending @master @regression @api","chromium","2026-08-18","passed","2026-08-18","Carts API Tests","api\carts.spec.ts","",""
"","1074","POST - Successful Login @master @sanity @api","chromium","2026-08-18","passed","2026-08-18","Authentication API Tests","api\auth.spec.ts","",""
"","417","GET - All Users @master @sanity @api","chromium","2026-08-18","passed","2026-08-18","Users API Tests","api\users.spec.ts","",""
"","271","GET - Users with Limit @master @regression @api","chromium","2026-08-18","passed","2026-08-18","Users API Tests","api\users.spec.ts","",""
"","1713","Login Data Driven - Invalid login [row 3] @datadriven @master @web","chromium","2026-08-18","passed","2026-08-18","","web\login-data-driven.spec.ts","",""
"","365","User Response Schema Validation @master @regression @api","chromium","2026-08-18","passed","2026-08-18","JSON Schema Validation Tests","api\schema-validation.spec.ts","",""
"","521","POST - Create User @master @regression @api","chromium","2026-08-18","passed","2026-08-18","Users API Tests","api\users.spec.ts","",""
"","345","GET - Products by Category @master @regression @api","chromium","2026-08-18","passed","2026-08-18","Products API Tests","api\products.spec.ts","",""
"","1387","User CRUD Workflow @master @regression @api","chromium","2026-08-18","passed","2026-08-18","User CRUD Workflow","api\user-crud-workflow.spec.ts","",""
"","579","GET - Carts by Date Range @master @regression @api","chromium","2026-08-18","passed","2026-08-18","Carts API Tests","api\carts.spec.ts","",""
